CAR_NAME,BRAND,SUB_BRAND,MODAL_YEAR,AMOUNT,FUEL_TYPE,DIS_COVERED,EMI_AMOUNT,Operate
Renault TRIBER,Renault,TRIBER,2021,1033000,PETROL,4252,"19,662",MANUAL
Maruti Ertiga,Maruti,Ertiga,2022,395000,PETROL,9884,"8,787",MANUAL
Maruti Celerio,Maruti,Celerio,2014,661000,PETROL,29601,"12,923",MANUAL
Ford Ecosport,Ford,Ecosport,2016,1490000,PETROL,21762,"28,361",MANUAL
Mahindra Thar,Mahindra,Thar,2023,843000,PETROL,11796,"18,329",AUTOMATIC
Mahindra XUV500,Mahindra,XUV500,2015,552000,DIESEL,91778,"10,792",MANUAL
Hyundai Elite,Hyundai,Elite,2016,635000,PETROL,58161,"12,414",MANUAL
Hyundai Elite,Hyundai,Elite,2018,631000,PETROL,32293,"12,336",AUTOMATIC
Maruti Baleno,Maruti,Baleno,2017,455999,PETROL,31727,"8,915",MANUAL
Hyundai Xcent,Hyundai,Xcent,2018,893000,PETROL,73536,"16,997",MANUAL
Honda Jazz,Honda,Jazz,2021,853999,PETROL,42493,"16,255",AUTOMATIC
Hyundai Verna,Hyundai,Verna,2018,605000,PETROL,78703,"11,828",MANUAL
Renault TRIBER,Renault,TRIBER,2020,654000,PETROL,42247,"12,786",MANUAL
Maruti Baleno,Maruti,Baleno,2018,698000,PETROL,61005,"13,646",MANUAL
Tata Tiago,Tata,Tiago,2022,595000,PETROL,6541,"11,632",AUTOMATIC
Ford Ecosport,Ford,Ecosport,2016,1119000,PETROL,93059,"21,299",MANUAL
Maruti Grand,Maruti,Grand,2023,370000,PETROL,20888,"7,234",MANUAL
Honda Brio,Honda,Brio,2015,651000,PETROL,70257,"12,727",MANUAL
Hyundai Elite,Hyundai,Elite,2016,393000,PETROL,17344,"10,349",MANUAL
Volkswagen Polo,Volkswagen,Polo,2014,493000,DIESEL,90678,"9,638",MANUAL
Hyundai Elite,Hyundai,Elite,2015,1375000,PETROL,88718,"26,172",MANUAL
Tata Harrier,Tata,Harrier,2021,606000,DIESEL,46225,"11,847",MANUAL
Honda City,Honda,City,2015,1362000,PETROL,60317,"25,924",MANUAL
Jeep Compass,Jeep,Compass,2020,1088000,PETROL,55863,"20,709",AUTOMATIC
Hyundai NEW,Hyundai,NEW,2022,361000,PETROL,9193,"7,058",MANUAL
Tata Tiago,Tata,Tiago,2016,254000,PETROL,53919,"4,966",MANUAL
Datsun Redi,Datsun,Redi,2019,592000,PETROL,25135,"13,169",MANUAL
Nissan Terrano,Nissan,Terrano,2015,445000,DIESEL,65385,"8,700",MANUAL
Maruti Eeco,Maruti,Eeco,2018,2702000,PETROL,66374,"51,430",MANUAL
Toyota Innova,Toyota,Innova,2022,569000,DIESEL,3597,"11,124",MANUAL
Hyundai Elite,Hyundai,Elite,2017,473000,PETROL,10914,"15,710",MANUAL
Ford Ecosport,Ford,Ecosport,2013,453000,DIESEL,79454,"8,856",MANUAL
Tata Tiago,Tata,Tiago,2018,568000,PETROL,72597,"11,105",MANUAL
Maruti IGNIS,Maruti,IGNIS,2020,432000,PETROL,30628,"14,349",MANUAL
Renault Duster,Renault,Duster,2013,596000,DIESEL,88309,"11,652",MANUAL
Mahindra TUV300,Mahindra,TUV300,2016,547000,DIESEL,38328,"12,159",MANUAL
Maruti Ciaz,Maruti,Ciaz,2014,758000,PETROL,70337,"14,819",MANUAL
Tata PUNCH,Tata,PUNCH,2021,500000,PETROL,4700,"9,775",MANUAL
Hyundai Grand,Hyundai,Grand,2017,388000,PETROL,45003,"12,887",MANUAL
Maruti Swift,Maruti,Swift,2012,326000,PETROL,105772,"6,373",MANUAL
Maruti OMNI,Maruti,OMNI,2017,971000,PETROL,20461,"18,482",MANUAL
KIA SELTOS,KIA,SELTOS,2019,568000,PETROL,47181,"11,105",MANUAL
Tata Tiago,Tata,Tiago,2020,597000,PETROL,25101,"11,671",MANUAL
Honda City,Honda,City,2015,271000,PETROL,40477,"12,757",MANUAL
Hyundai i10,Hyundai,i10,2011,743000,PETROL,72455,"14,526",MANUAL
Hyundai Elite,Hyundai,Elite,2019,611000,PETROL,38639,"11,945",AUTOMATIC
Renault TRIBER,Renault,TRIBER,2020,378000,PETROL,41840,"7,390",MANUAL
Tata Tiago,Tata,Tiago,2016,455000,PETROL,70208,"8,895",MANUAL
Tata Tiago,Tata,Tiago,2017,349000,PETROL,28606,"11,592",MANUAL
Hyundai i20,Hyundai,i20,2012,547000,PETROL,64048,"12,168",MANUAL
Honda City,Honda,City,2014,408000,PETROL,55894,"10,744",MANUAL
Hyundai i20,Hyundai,i20,2013,336000,PETROL,78316,"8,848",MANUAL
Hyundai Grand,Hyundai,Grand,2013,625000,PETROL,87459,"12,219",MANUAL
Maruti Dzire,Maruti,Dzire,2017,799000,PETROL,29486,"15,621",AUTOMATIC
Honda City,Honda,City,2018,567000,PETROL,70183,"11,085",MANUAL
Hyundai Elite,Hyundai,Elite,2017,571000,PETROL,78959,"12,702",MANUAL
Maruti Ertiga,Maruti,Ertiga,2014,559000,PETROL,92745,"10,929",MANUAL
Honda City,Honda,City,2015,656000,PETROL,71841,"12,825",MANUAL
Hyundai GRAND,Hyundai,GRAND,2020,436000,PETROL,45834,"8,524",AUTOMATIC
Hyundai Grand,Hyundai,Grand,2017,891000,PETROL,96375,"16,959",MANUAL
Honda City,Honda,City,2018,377000,PETROL,38673,"7,370",MANUAL
Renault Kwid,Renault,Kwid,2018,473000,PETROL,29224,"9,247",AUTOMATIC
Maruti Eeco,Maruti,Eeco,2019,655000,PETROL,24968,"12,805",MANUAL
Maruti Ciaz,Maruti,Ciaz,2018,450000,PETROL,91521,"10,010",MANUAL
Maruti Swift,Maruti,Swift,2014,1116000,PETROL,89872,"21,242",MANUAL
KIA SELTOS,KIA,SELTOS,2021,703000,PETROL,43811,"13,744",MANUAL
Tata ALTROZ,Tata,ALTROZ,2020,902999,PETROL,34901,"17,188",MANUAL
Hyundai Creta,Hyundai,Creta,2017,416000,PETROL,61235,"10,955",MANUAL
Volkswagen Polo,Volkswagen,Polo,2013,764000,PETROL,85861,"14,942",MANUAL
Mahindra XUV300,Mahindra,XUV300,2019,377000,PETROL,42731,"8,386",MANUAL
Maruti Celerio,Maruti,Celerio,2014,928999,PETROL,14522,"17,683",AUTOMATIC
Hyundai Verna,Hyundai,Verna,2019,890000,PETROL,37380,"16,940",AUTOMATIC
Tata NEXON,Tata,NEXON,2020,1232000,PETROL,40443,"23,450",AUTOMATIC
KIA SELTOS,KIA,SELTOS,2022,536000,PETROL,28803,"10,479",MANUAL
Mahindra KUV,Mahindra,KUV,2018,926000,PETROL,5291,"17,626",MANUAL
Renault Duster,Renault,Duster,2021,1030000,PETROL,18262,"19,605",MANUAL
Tata NEXON,Tata,NEXON,2021,728000,PETROL,35445,"14,233",AUTOMATIC
